"","schoolname","schoolcode","sssdistrict","ssslong","ssslat"
"64","POPE JOHN SENIOR HIGH & JNR. SEM. SCH., KOFORIDUA",20102,"New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"65","ST. LOUIS SENIOR HIGH. SCHOOL, ODOUM",50102,"Kumasi Metro",-1.59718716144562,6.68205976486206
"66","GHANA NATIONAL COLLEGE, CAPE COAST",30106,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"67","OKUAPEMAN SENIOR HIGH SCHOOL, AKROPONG",20402,"Akwapim North (Akropong)",-0.166071146726608,5.97642612457275
"68","PREMPEH COLLEGE, KUMASI",50108,"Kumasi Metro",-1.59718716144562,6.68205976486206
"69","ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI",10112,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"70","ST. AUGUSTINE'S COLLEGE, CAPE COAST",30101,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"71","GHANA NATIONAL COLLEGE, CAPE COAST",30106,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"72","OLA GIRLS SENIOR HIGH SCHOOL, HO",70101,"Ho Municipal",0.526142239570618,6.71760702133179
"73","MFANTSIPIM SENIOR HIGH SCHOOL, CAPE COAST",30104,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"74","OKUAPEMAN SENIOR HIGH SCHOOL, AKROPONG",20402,"Akwapim North (Akropong)",-0.166071146726608,5.97642612457275
"75","ST. PETER'S SENIOR HIGH SCH, NKWATIA-KWAHU",21003,"Kwahu South (Mpraeso)",-0.635528683662415,6.61922645568848
"76","PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON",10111,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"77","ST. JAMES SEMINARY & SENIOR HIGH. SCHOOL, ABESIM",60106,"Sunyani",-2.3274233341217,7.34467792510986
"78","GHANA SENIOR HIGH. SCH., KOFORIDUA",20104,"New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"79","ANGLICAN SENIOR HIGH SCHOOL, ASEM-KUMASI",50107,"Kumasi Metro",-1.59718716144562,6.68205976486206
"80","KUMASI ACADEMY, ASOKORE MAMPONG",50105,"Kumasi Metro",-1.59718716144562,6.68205976486206
"81","ADISADEL COLLEGE, CAPE COAST",30102,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"82","KUMASI ACADEMY, ASOKORE MAMPONG",50105,"Kumasi Metro",-1.59718716144562,6.68205976486206
"83","ACCRA ACADEMY, KANESHIE",10121,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"84","GHANA NATIONAL COLLEGE, CAPE COAST",30106,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"85","LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA",10117,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"86","ANGLICAN SENIOR HIGH SCHOOL, ASEM-KUMASI",50107,"Kumasi Metro",-1.59718716144562,6.68205976486206
"87","ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA",10110,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"88","YAA ASANTEWAA GIRL'S SENIOR HIGH. SCHOOL, TANOSO",50201,"Kumasi Metro",-1.59718716144562,6.68205976486206
"89","ST. MONICA'S SENIOR HIGH. SCHOOL, MAMPONG",50502,"Sekyere West (Mampong)",-1.18007683753967,7.19956493377686
"90","ST. MONICA'S SENIOR HIGH. SCHOOL, MAMPONG",50502,"Sekyere West (Mampong)",-1.18007683753967,7.19956493377686
"91","T.I. AHMAD. SENIOR HIGH. SCHOOL, KUMASI",50104,"Kumasi Metro",-1.59718716144562,6.68205976486206
"92","ST. JAMES SEMINARY & SENIOR HIGH. SCHOOL, ABESIM",60106,"Sunyani",-2.3274233341217,7.34467792510986
"93","ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO",10102,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"94","ACCRA ACADEMY, KANESHIE",10121,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"95","AGGREY MEMORIAL A.M.E. ZION SENIOR HIGH. SCH., CAPE COAST",30401,"Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"96","ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI",10112,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"97","LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA",10117,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"98","ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI",10112,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"99","OLA GIRLS SENIOR HIGH SCHOOL, HO",70101,"Ho Municipal",0.526142239570618,6.71760702133179
"100","KUMASI ACADEMY, ASOKORE MAMPONG",50105,"Kumasi Metro",-1.59718716144562,6.68205976486206
"101","ST. JAMES SEMINARY & SENIOR HIGH. SCHOOL, ABESIM",60106,"Sunyani",-2.3274233341217,7.34467792510986
"102","ADISADEL COLLEGE, CAPE COAST",30102,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"103","ANGLICAN SENIOR HIGH SCHOOL, ASEM-KUMASI",50107,"Kumasi Metro",-1.59718716144562,6.68205976486206
"104","ADISADEL COLLEGE, CAPE COAST",30102,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"105","KUMASI ACADEMY, ASOKORE MAMPONG",50105,"Kumasi Metro",-1.59718716144562,6.68205976486206
"106","AGGREY MEMORIAL A.M.E. ZION SENIOR HIGH. SCH., CAPE COAST",30401,"Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"107","ACCRA ACADEMY, KANESHIE",10121,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"108","ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI",10112,"Accra Metropolitan",-0.197115257382393,5.6073956489563
